# ============================================================
# FocusGate — Practice Content
# ============================================================
# FORMAT: Level | Category | Prompt (what the app says) | Response (model answer)
#
# - Prompt: la pregunta o situación que la app dice en voz alta
# - Response: la respuesta modelo que tú deberías dar
# - Si solo hay 3 campos (sin Response): modo repetición clásico
#
# Cómo agregar frases:
#   B1 | Category | What did you work on yesterday? | Yesterday I finished the login screen.
#
# Levels: A2 (básico) · B1 (intermedio) · B2 (avanzado)
# ============================================================


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: FOUNDATIONS | Foundations | 🗣️ | Conversational essentials
# ╚══════════════════════════════════════════════════════════╝
# Practica esto primero — aplica en cualquier conversación o entrevista.

# --- A2: Reacciones universales básicas ---
A2 | Clarification    | You did not hear what someone said in a meeting. React naturally. | Could you repeat that, please?
B1 | Testing          | Lead asks if tests should be added before the pull request is merged. | Absolutely. I will write unit tests for the use case and mock the repository using a fake implementation before I submit the pull request.
B1 | Bug              | Client reports crashes on Android 12 for some users. | Android 12 introduced background service execution restrictions. I replaced the background service with WorkManager, which is the recommended approach for deferred background work.
B1 | Performance      | Teammate asks what caused the scroll lag reported by QA. | We were loading and scaling full-resolution images on the main thread. I moved the image loading to Coil on a background thread and the scroll is now completely smooth.
B1 | Review           | Lead says they left detailed comments on your pull request. | Thank you for the thorough review. I agree with most of the feedback and have already addressed the architecture comments. I have one question about the error handling suggestion.
B1 | Offline          | Lead asks how the app handles the case when there is no internet. | I am using a Room database as a local cache. When there is no internet, the app serves the cached data and shows a non-intrusive banner to inform the user they are offline.
B1 | Refactoring      | Teammate asks why you split that large class into three separate ones. | It was doing too many things — data fetching, business logic, and UI formatting all in one place. I split it following the single responsibility principle to make each part independently testable.
B1 | Coroutines       | Teammate asks why the Flow is not emitting any values. | The coroutine scope that collects the Flow was cancelled when the ViewModel was cleared. I moved the collection to the UI layer using collectAsStateWithLifecycle to tie it to the screen lifecycle.
B1 | Compose          | Lead asks what is causing the list to recompose too often. | The recycler is recomposing unnecessarily. I optimized it by passing a stable key to each item in the LazyColumn so Compose can track changes efficiently and skip unchanged items.
B1 | Background       | Teammate asks why you chose WorkManager over a background service. | WorkManager survives process death and respects battery optimization settings. It is the recommended solution for reliable deferred background work on modern Android.
B1 | Memory           | Teammate points out that the ViewModel might be leaking memory. | You are right. It holds a reference to the Activity context. I will refactor it to use the Application context or inject the dependency through the constructor instead.
B1 | Lint             | Lead asks how to prevent this anti-pattern from being introduced again. | I will write a custom Lint rule that flags any ViewModel holding a View or Activity reference. It will fail the build if the rule is violated, so the team will catch it immediately.
B1 | Database         | Teammate says the schema migration broke the existing tests. | The schema change added a NOT NULL column without a default value, which broke the in-memory test database. I am adding a migration helper and updating the test database setup.
B1 | Architecture     | Lead asks where the business logic lives now after the refactor. | I extracted it into a UseCase class that takes the repository as a constructor dependency. It is now fully unit testable without any Android framework dependencies.
B1 | Compose          | Lead asks why the screen recomposes on every frame during scroll. | The parent composable holds mutable state that changes on every frame. I wrapped it in a remember block and derived the stable state once to minimize unnecessary recompositions.
B1 | Networking       | Teammate asks what happens when a network request fails. | I added exponential backoff using the Retry utility from the Coroutines library. After three failed attempts it shows a clear error state with a retry button that the user can tap.
B1 | SDK              | Lead asks if the app targets the latest stable SDK version. | Yes, I updated the compileSdk and targetSdk to the latest stable release and tested all the new permission flows on a physical device running the latest OS.
B1 | DI               | Teammate asks why you chose Hilt over manual dependency injection. | Hilt integrates with the Android lifecycle and generates the boilerplate automatically. It also makes testing easier because we can replace any dependency with a test double using the testing module.
B1 | ProGuard         | Lead says ProGuard is stripping a class needed at runtime. | I found the missing class. I added a keep rule in the ProGuard configuration to prevent it from being obfuscated or removed during the release build.
B1 | CI               | Lead asks if the CI pipeline is set up for the new repository. | Yes, I configured a GitHub Actions workflow that runs unit tests, Lint, and a debug build on every pull request. It also generates a test coverage report so we can track regressions.
B1 | Compatibility    | Teammate says dark mode looks wrong on Samsung devices. | Samsung uses a custom color system that overrides some Material Design tokens. I added device-specific overrides in the theme file to ensure consistent dark mode colors across manufacturers.

# --- B2 ---
B2 | Architecture     | Lead says the current architecture will not scale as the app grows. | I recommend migrating to a modular architecture where each feature is an independent Gradle module. This reduces build times, enforces clear boundaries, and lets teams work in parallel without conflicts.
B2 | Threading        | Lead asks what is causing the persistent crashes on the main thread. | The crashes are threading violations caused by updating UI state from a background coroutine without switching to the main dispatcher. I will audit every coroutine and enforce withContext for all state updates.
B2 | API design       | Lead asks your opinion on whether to keep REST or move to something else. | For mobile clients, GraphQL would be a better fit. It eliminates overfetching, reduces round trips, and lets the client request exactly the fields it needs. I can build a proof of concept this sprint.
B2 | CI               | Lead asks why the integration tests keep failing randomly in CI. | The flaky tests have timing assumptions baked in with Thread.sleep calls. I will replace them with idling resources or fake time injection to make the tests fully deterministic and reliable.
B2 | Security         | Lead asks what the security audit flagged in your module. | We are storing the access token in plain SharedPreferences, which is unencrypted on Android below version six. I will migrate to EncryptedSharedPreferences or the Android Keystore system to meet the security requirement.
B2 | Monitoring       | Product asks how the feature flag is performing in production. | The flag is live for fifteen percent of users. Crash-free session rate and all performance metrics are within normal range. I recommend expanding to fifty percent tomorrow if the numbers hold through tonight.
B2 | Tech debt        | Lead asks how much effort it would take to clean up the networking layer. | There are three major issues — inconsistent error handling, no retry logic, and tight coupling to Retrofit. I estimate four sprint points to refactor it properly, which would also unblock three pending features.
B2 | Pagination       | Lead asks if the list screen performance can be improved now. | Not effectively without a server-side change. Once the backend team implements cursor-based pagination, I can add a paged adapter that will dramatically reduce load time and memory usage simultaneously.
B2 | Proof of concept | Lead asks you to walk through the proof of concept you just completed. | The proof of concept shows we can use WebSockets for real-time updates without a full push notification backend. Latency is under fifty milliseconds in our tests. I documented the architecture and tradeoffs in Confluence.
B2 | Error handling   | Lead asks how to make error handling consistent across the entire app. | I propose defining a sealed class hierarchy for domain errors and a standard mapper at each data layer boundary. Every module would translate its errors into the same domain model, giving the UI a single consistent way to display them.
B2 | DI               | Teammate asks why you made changes to the dependency injection graph. | There was a circular dependency between the auth repository and the network module causing a runtime crash. I introduced an interface to break the cycle and also improved the testability of both modules.
B2 | Performance      | Lead asks what the profiler revealed about the list scroll performance. | We are rebuilding the UI model on every recomposition, creating thousands of short-lived objects during scroll. I will move the transformation to a StateFlow with stateIn so it only runs when the source data actually changes.
B2 | DevOps           | Lead asks for an update on the CI reliability problems this week. | Two end-to-end tests were flaking on the emulator due to animation timeout issues. I disabled animations in the test environment and added a retry policy. The pipeline has been fully stable since yesterday morning.
B2 | Planning         | Lead asks if the team can start development on the new epic now. | We need to refine the acceptance criteria first. The current specification is too vague to estimate reliably. Can we block fifteen minutes with the product owner before the sprint kickoff to fill in the gaps?
B2 | Accessibility    | Accessibility tester asks if the app is ready for launch after the audit. | The audit found several critical issues — missing content descriptions and low contrast ratios on key screens. I need to fix those eight items before we can responsibly ship. I expect to finish by Thursday.
B2 | Caching          | Lead asks how to reduce the redundant API calls happening throughout the app. | I am proposing a caching layer using the Repository pattern with Room as the local source of truth. The UI observes a single Flow reflecting both cached and fresh data, and we get basic offline support as a bonus.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: DAILY_LIFE | Daily Life | ☀️ | Everyday situations
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | Services         | A pharmacy assistant asks how they can help you. | What time do you close today?
A2 | Food             | A barista asks what you would like to order. | Can I have a coffee, please?
A2 | Shopping         | A cashier asks how you will pay. | I will pay with my credit card, please.
A2 | Shopping         | A shop assistant approaches and asks if you need help. | Yes, I am looking for a phone charger. Do you have any?
A2 | Time             | A stranger on the street asks what time it is. | It is three fifteen in the afternoon.
A2 | Medical          | A receptionist asks how they can help you at the clinic. | I have an appointment at two o'clock with Doctor Martinez.
A2 | Food             | A colleague offers to get something from the café. | Yes, please. A black coffee with no sugar. Thank you.
A2 | Shopping         | A cashier tells you the total amount. | Here you go. Can I have a receipt, please?
A2 | Food             | A waiter comes to check if everything is fine with your order. | Actually, I ordered the salad but I received the soup instead.
A2 | Schedule         | A receptionist asks when you are available for an appointment. | I can come in any morning this week. What slots do you have available?
A2 | Medical          | A pharmacy assistant asks if you have a prescription. | No, I just need some ibuprofen for a headache. Is that available without one?
A2 | Delivery         | A delivery person rings and says they have a package for you. | Thank you. Could you leave it at the door? I am currently on a video call.
A2 | Noise            | A neighbor complains that your music is too loud. | I am so sorry. I will turn it down right away.
A2 | Shopping         | A shop assistant asks if you need help with clothing sizes. | Yes. I am not sure about my size here. Can I try this on?
A2 | Food             | A barista asks for your order at a coffee shop. | I will have a large oat milk latte with one extra shot, please.
A2 | Hotel            | A hotel receptionist asks if you have a reservation. | Yes, under the name Javier Enriquez. I booked a room for two nights.
A2 | Transport        | A taxi driver asks where you want to go. | To the airport, please. I need to be there by six o'clock.
A2 | Social           | A colleague invites you to the team lunch. | Yes, I will be there. What time and where is it?
A2 | Banking          | A bank teller asks how they can help you today. | I would like to open a checking account. What documents do I need to bring?
A2 | Security         | A security guard asks to see your identification. | Of course. Here is my passport.
A2 | Food             | You want to pay and need the check. | Could we have the check when you get a chance, please?
A2 | Accommodation    | A landlord asks if you have read the lease agreement. | Yes, I have. I have a question about the deposit clause on page three.

# --- B1 ---
B1 | Food             | A colleague asks if you know a good place for the team lunch. | There is a really good Peruvian restaurant two blocks from the office. The food is excellent and it is quiet enough for a business conversation.
B1 | Food             | A barista asks for your size and milk preference. | I will have a large oat milk latte with one extra shot and no sugar. Could you make it a bit hotter than usual?
B1 | Services         | A colleague asks if you know when the nearby pharmacy closes. | I believe it closes at nine on weekdays. There is also one inside the supermarket on the corner that stays open until midnight.
B1 | Schedule         | Your manager asks if you can attend the meeting today at the original time. | Something urgent came up this afternoon. I am free tomorrow from ten onwards or Friday morning. Which works better for you?
B1 | Commute          | A colleague notices you seem stressed and asks if you are okay. | Yes, the traffic was terrible today so I left home extra early and took the subway to make sure I got here on time.
B1 | Office           | A coworker asks you to keep your voice down while on a call. | I am so sorry. I did not realize how loud I was. I will move to a meeting room for the rest of the call.
B1 | Food             | A teammate says they are heading out for lunch. | Could you bring me a sandwich if you are passing the bakery? I have back-to-back calls and cannot leave the office right now.
B1 | Social           | A friend texts asking if you are free for coffee this week. | I would love that. I am fairly flexible this week — any day after five works for me. Just let me know where and I will be there.
B1 | Schedule         | A colleague asks when you will be back from your appointment. | I have a dentist appointment at noon. I should be done by one at the latest and back in the office after that.
B1 | Package          | A colleague tells you there is a package waiting at reception. | Thank you for letting me know. Could you sign for it? I am in a meeting until three and cannot step away right now.
B1 | Food             | A client asks if the restaurant you suggested is good for a business lunch. | It depends on the time. The food is excellent but it can get noisy during peak hours. I would book a table in the back section for a more private conversation.
B1 | Health           | A friend asks if you are going to renew your gym membership. | I am thinking about it. I want to check if they improved the equipment. Last time the treadmills were always occupied during peak hours.
B1 | Work             | A colleague asks if you know a quiet place to work nearby for the afternoon. | There is a coworking space on Larco Avenue that is quiet and has good Wi-Fi. It is a bit pricey but worth it for focused deep work.
B1 | Work             | A teammate asks what happened to you this morning. | The power went out in my apartment at seven. I grabbed my laptop and worked from a café until they restored it around noon.
B1 | Services         | A friend asks if you know anyone who repairs phones nearby. | There is a repair shop on Benavides Street that does excellent work. He fixed my screen in under two hours and the price was very reasonable.
B1 | Emergency        | A neighbor asks why you are knocking on their door. | I accidentally locked myself out of my apartment. I need to call a locksmith — do you know a reliable one in this area?
B1 | Services         | A colleague asks if you know a good document translation service. | For official documents I use a certified translator on Jirón de la Unión. For quick everyday translations DeepL is far more accurate than Google Translate.
B1 | Banking          | A bank agent asks what documents you brought to open an account. | I brought my passport, proof of address, and my tax identification number. I also have my employment contract if that helps speed up the process.

# --- B2 ---
B2 | Services         | A mobile carrier agent asks how they can help you today. | I am considering switching my data plan. I need unlimited data that works reliably across Lima and surrounding provinces. I would like to compare your current options and understand the contract terms before deciding.
B2 | Legal            | A landlord asks if you have reviewed the lease agreement they sent. | I have, and I have a few questions before signing. I want to clarify the early termination clause and confirm whether the deposit is fully refundable if the property is returned in good condition.
B2 | Services         | An internet provider agent asks how they can assist you today. | I have been experiencing intermittent outages for two weeks. I reported it three times and each time I was told it was resolved, but the problem persists. I would like to escalate this and understand what compensation I am entitled to.
B2 | Admin            | A building administrator asks the reason for your meeting request. | I need to discuss the ongoing maintenance issues in my unit formally. The heating has not worked properly for six weeks and repeated verbal requests have not resulted in any action.
B2 | Review           | A restaurant manager asks if everything is to your satisfaction tonight. | The food and service have been consistently excellent — I always recommend this restaurant to colleagues and clients who are visiting the city for the first time.
B2 | Finance          | An insurance agent asks if you are familiar with freelancer health plans. | Somewhat. I need help understanding the difference between individual and group plans, what the waiting periods are, and which plans cover specialist consultations without needing a referral first.
B2 | Finance          | A bank agent asks if there is anything else they can help you with. | Yes. I noticed a charge I do not recognize on my statement from last Tuesday. It shows as a purchase at a store I have never visited. I would like to formally dispute that transaction.
B2 | Legal            | A landlord says they will get to the repair requests eventually. | I understand you are busy, but the leak has been ongoing for over a month and is now causing visible water damage. I would like to set a specific date for the repair. If it is not resolved within the week, I will need to review my options under the rental agreement.
B2 | Career           | A friend asks if you are really planning to move to a different city for a job. | Yes, I accepted a fully remote position with a company based in Colombia. I am planning the move for next month. It is a big step but the opportunity and the tech community there are both exceptional.
B2 | Admin            | A visa officer asks you to describe the purpose of your application. | I am applying for a work visa to join a technology company in Chile. I have my employment offer letter, proof of professional qualifications, and bank statements for the past twelve months ready for review.


# ╔══════════════════════════════════════════════════════════╗
# TOPIC: SMALL_TALK | Small Talk | 💬 | Casual conversations
# ╚══════════════════════════════════════════════════════════╝

# --- A2 ---
A2 | Greeting         | A coworker greets you in the morning and asks how you are. | I am doing well, thanks. A bit tired but happy it is almost Friday.
A2 | Weekend          | A colleague asks how your weekend was. | It was great. I stayed home and finally caught up on some sleep.
A2 | Weather          | A neighbor comments on the nice weather today. | Yes, it is beautiful outside. I hope it stays like this all week.
A2 | Sports           | A coworker asks if you watched the game last night. | I missed it. What happened? Who won in the end?
A2 | Social           | A colleague asks if you are going to the birthday party. | I am planning to go, yes. Do you know where it is and what time it starts?
A2 | Food             | A coworker asks if you have tried the new restaurant nearby. | Not yet. Is it good? I have been curious about it for a while now.
A2 | Tired            | A colleague says you look tired today. | I had a very late night finishing a project. I need coffee urgently right now.
A2 | Vacation         | A coworker asks about your plans for the long weekend. | I am thinking about taking a short trip. I have not decided where yet.
A2 | Work             | A new colleague asks how long you have worked there. | I have been here for about eight months now. Time really goes by fast.
A2 | Remote           | A friend asks if you like working from home. | I do, mostly. The commute is zero and I am more focused. I do miss the social side a bit though.
A2 | Music            | A friend asks what kind of music you are into. | I mostly listen to lo-fi when I am working and rock when I work out.
A2 | Pets             | A colleague asks if you have any pets at home. | Yes, I have a cat. She is great company when I am working from home.
A2 | Movies           | A friend asks if you have seen any good movies lately. | Yes, I watched an excellent documentary last week. It was very thought-provoking.
A2 | Hobbies          | A colleague asks what you do after work to relax. | I usually go for a run or cook dinner at home. It helps me disconnect from the work day.
A2 | Coffee           | A coworker asks if you are a coffee person or a tea person. | Definitely coffee. I cannot start the day properly without it.
A2 | Netflix          | A friend asks if you are watching anything on Netflix these days. | Yes, I just started a crime series. Only two episodes in but I am already completely hooked.
A2 | Exercise         | A colleague asks if you exercise regularly. | I try to. I go to the gym three times a week when I can manage to fit it in.
A2 | Origins          | A new colleague asks where you are originally from. | I am from Lima but I grew up in Arequipa. I moved here five years ago for work.
A2 | Holidays         | A coworker asks if you have big plans for the upcoming holidays. | Nothing too exciting. Family dinner, some rest, and maybe a short trip if the flights are not too expensive.
A2 | Schedule         | A client asks if you are a morning person for calls. | Not naturally. But I have been waking up earlier lately because I have international calls at seven in the morning.
A2 | Family           | A colleague asks how the family is doing. | Doing well, thanks for asking. My parents just visited for the week, which was really nice.
A2 | Career           | A new contact asks how you got into the tech industry. | I was always curious about how things work. I started learning to code at university and I never really stopped.

# --- B1 ---
B1 | Weekend          | A colleague asks about your weekend and whether you did anything fun. | It was really good. I took a hike outside the city on Saturday — I needed to get away from screens for a bit. Sunday I just relaxed at home.
B1 | Entertainment    | A client asks if you have been following the tech documentary everyone is talking about. | I started it but have not finished it yet. I am trying to limit screen time in the evenings. Is it worth continuing past the third episode?
B1 | Weather          | A colleague complains about how unpredictable the weather has been. | I know. I left home in a t-shirt this morning and now I am freezing. I really should have checked the forecast before leaving.
B1 | Team event       | A friend asks if you are coming to the company event on Friday. | I am planning to. I heard the venue is really nice. Do you know if there is a dress code or is it casual attire?
B1 | Time             | A friend says the year has gone by incredibly fast. | I know, it is hard to believe. I feel like I had plans for this year that I have barely started. Time management is something I genuinely want to get better at.
B1 | Career           | A new contact asks how long you have been in software development. | About three years professionally. I switched from a completely different field, so it was a steep learning curve at the start, but I am really glad I made the change.
B1 | Office           | A colleague comments on the new office layout. | It is growing on me. It was a bit disorienting at first but I like having more natural light. The open plan does get a bit noisy during peak hours though.
B1 | Coffee           | A teammate asks if you have tried the new coffee machine in the break room. | I have. It is much better than the old one. The espresso is surprisingly decent for an office machine — I use it every morning now.
B1 | Sports           | A friend asks if you watched the tournament match last night. | I caught the second half. What a finish — I did not expect that result at all. The third goal came completely out of nowhere.
B1 | Vacation         | A colleague says you look refreshed and asks how your vacation was. | It was exactly what I needed. I completely disconnected — no emails, no Slack, nothing. I came back feeling genuinely energized for the first time in months.
B1 | Hobbies          | A colleague asks how you usually unwind after a long workday. | I usually go for a thirty-minute run. It clears my head and helps me properly transition out of work mode. On really bad days I just cook something and watch an episode of something light.
B1 | Local            | A colleague asks if you heard about the new park near the riverside. | Not yet, but I have heard it is beautiful. I want to go this weekend if the weather holds. Do you want to organize a group walk with a few people from the team?
B1 | Hobbies          | A friend asks how your weekend cooking experiment has been going. | Hit and miss, honestly. The pasta dishes have been great but I attempted a soufflé last weekend that completely collapsed. I laughed about it though — it was impressive how wrong it went.
B1 | Remote           | A colleague asks how you stay productive when working from home. | I follow a strict routine — same wake-up time, dress as if I am going to the office, and take a real lunch break away from the desk. Without that structure the days just blur together.
B1 | Learning         | A new contact asks if you have a podcast recommendation for learning English. | I love English Learning for Curious Minds — the topics are interesting and the host speaks very clearly. I also listen to How I Built This for business English in a natural, unscripted context.
B1 | Career           | A colleague asks if you have ever seriously considered working abroad. | Yes, quite seriously. I would love to work in a city with a strong tech community — Bogotá, Buenos Aires, or eventually somewhere in the US. Remote work has made it feel much more achievable.
B1 | Events           | A friend asks about any tech conferences you are planning to attend. | I am looking at the Google I/O extended event here in Lima and possibly Droidcon in the US next year if I can swing it. Have you been to any good ones you would recommend?
B1 | Productivity     | A client asks how you manage your time when juggling multiple projects. | I block dedicated hours for each client in my calendar, turn off notifications during deep work sessions, and do a weekly review every Sunday to plan the upcoming week. It took me a while to find a system that works.

# --- B2 ---
B2 | Industry         | A senior colleague reflects on how fast the tech industry has evolved. | Absolutely. The shift from imperative to declarative UI in just a few years is a perfect example. I find it exciting, though it does require a genuine commitment to continuous learning to stay relevant.
B2 | Career           | A mentor asks where you see your career heading over the next few years. | I want to deepen my expertise in Android architecture while building stronger communication and client management skills. In three to five years I would like to lead small teams on international projects.
B2 | Balance          | A friend asks if remote work has changed how you think about work-life balance. | Significantly. The boundaries are much harder to maintain and you have to be more intentional. I now have clear cut-off times and I am more deliberate about social interaction since the natural workplace socialization disappears.
B2 | AI               | A colleague asks your opinion on AI coding assistants. | They are genuinely useful for boilerplate and exploration but I would not rely on them for architectural decisions. The risk is that they make it easy to generate code you do not fully understand, which creates hidden technical debt.
B2 | Skills           | An interviewer asks what makes a developer truly stand out from others. | Honestly, communication. The technical skills are expected at a certain level. What separates the best developers I have worked with is their ability to articulate tradeoffs, align with stakeholders, and raise issues early rather than late.
B2 | Culture          | A friend asks if you have noticed differences between local and international work culture. | Quite a few. International remote teams value written communication much more and expect proactive updates without being asked. There is also a much stronger culture of async work and explicit documentation.
B2 | Career           | A friend asks if technical certifications actually matter for career growth in the field. | In my experience they matter more for getting initial attention — especially on LinkedIn and Upwork — but actual work quality and communication skills determine whether clients and employers retain you long term.
B2 | Observation      | A mentor asks what trait the best engineers you have worked with all shared. | Every strong engineer I have worked with had exceptional communication. They could explain a complex tradeoff in plain language, raise concerns at the right time, and make decisions without requiring constant direction.
B2 | Networking       | A colleague asks what strategies you have found effective for building a professional network. | I engage genuinely on LinkedIn by sharing things I have actually learned, contribute to open source occasionally, and follow up with people I meet at events. I try to give value before asking for anything.
B2 | Freelance        | A friend asks if you are thinking about building a personal brand to attract better clients. | Yes, I have been working on it actively. I am documenting my projects with metrics and outcomes, writing occasional technical posts on LinkedIn, and building a public portfolio focused on my specific expertise.
